iso_code,continent,location,date,population,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million
AFG,Asia,Afghanistan,1/3/2020,41128772,,0,,,0,,,0,,,0,,,,,,,,,,
AFG,Asia,Afghanistan,1/4/2020,41128772,,0,,,0,,,0,,,0,,,,,,,,,,
AFG,Asia,Afghanistan,1/5/2020,41128772,,0,,,0,,,0,,,0,,,,,,,,,,
AFG,Asia,Afghanistan,1/6/2020,41128772,,0,,,0,,,0,,,0,,,,,,,,,,
AFG,Asia,Afghanistan,1/7/2020,41128772,,0,,,0,,,0,,,0,,,,,,,,,,
AFG,Asia,Afghanistan,1/8/2020,41128772,,0,0,,0,0,,0,0,,0,0,,,,,,,,,
AFG,Asia,Afghanistan,1/9/2020,41128772,,0,0,,0,0,,0,0,,0,0,,,,,,,,,
AFG,Asia,Afghanistan,1/10/2020,41128772,,0,0,,0,0,,0,0,,0,0,,,,,,,,,
AFG,Asia,Afghanistan,1/11/2020,41128772,,0,0,,0,0,,0,0,,0,0,,,,,,,,,
AFG,Asia,Afghanistan,1/12/2020,41128772,,0,0,,0,0,,0,0,,0,0,,,,,,,,,
AFG,Asia,Afghanistan,1/13/2020,41128772,,0,0,,0,0,,0,0,,0,0,,,,,,,,,
AFG,Asia,Afghanistan,1/14/2020,41128772,,0,0,,0,0,,0,0,,0,0,,,,,,,,,
AFG,Asia,Afghanistan,1/15/2020,41128772,,0,0,,0,0,,0,0,,0,0,,,,,,,,,
AFG,Asia,Afghanistan,1/16/2020,41128772,,0,0,,0,0,,0,0,,0,0,,,,,,,,,
AFG,Asia,Afghanistan,1/17/2020,41128772,,0,0,,0,0,,0,0,,0,0,,,,,,,,,
